"Empresa:","ITASUL TRANSPORTE E LOGISTICA LTDA","","","","","","","","","","","Folha:","","0001"
"C.N.P.J.:","42.497.558/0001-74","","","","","","","","","","","Número livro:","","0004"
"Período:","01/01/2025 - 31/12/2025","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"BALANCETE","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Código","Classificação","","Descrição da conta","","","","Saldo Anterior","","Débito","","Crédito","","Saldo Atual",""
"010000","1","","ATIVO","","","","1,827,149.85d","","13,144,197.90","","13,616,613.28","","1,354,734.47d",""
"010001","1.1","","   ATIVO CIRCULANTE","","","","1,052,460.13d","","12,932,126.65","","12,859,430.18","","1,125,156.60d",""
"010002","1.1.01","","      DISPONIVEL","","","","79,270.24d","","7,383,393.10","","7,254,357.54","","208,305.80d",""
"010003","1.1.01.01","","         CAIXA GERAL","","","","56,361.15d","","403,280.41","","299,485.62","","160,155.94d",""
"010004","1.1.01.01.0001","","            CAIXA","","","","56,361.15d","","403,280.41","","299,485.62","","160,155.94d",""
"010005","1.1.01.02","","         BANCOS C/C MOVIMENTOS","","","","22,909.09d","","6,925,329.55","","6,900,088.78","","48,149.86d",""
"010860","1.1.01.02.0007","","            BANCO ITAU S/A","","","","13,307.90d","","794,206.35","","765,583.85","","41,930.40d",""
"029011","1.1.01.02.0010","","            BANCO SICOOB SUL - LITORANEO  ","","","","1,363.17d","","1,754,508.53","","1,755,771.58","","100.12d",""
"052755","1.1.01.02.0011","","            BANCO SICREDI ","","","","0.00","","4,233,991.67","","4,227,872.33","","6,119.34d",""
"9152753","1.1.01.02.0012","","            TRANSFERENCIAS ENTRE CONTAS","","","","8,238.02d","","142,623.00","","150,861.02","","0.00",""
"010022","1.1.01.03","","         APLICACOES FINANCEIRAS","","","","0.00","","54,783.14","","54,783.14","","0.00",""
"025035","1.1.01.03.0006","","            APLIC BANCO ITAU S/A","","","","0.00","","54,783.14","","54,783.14","","0.00",""
"010031","1.1.02","","      CLIENTES","","","","319,710.40d","","5,029,213.27","","4,920,683.29","","428,240.38d",""
"010032","1.1.02.01","","         CLIENTES MERCADO INTERNO","","","","319,710.40d","","5,029,213.27","","4,920,683.29","","428,240.38d",""
"110083","1.1.02.01.0001","","            ARCELORMITTAL BRASIL SA","","","","1,381.50d","","0.00","","1,381.50","","0.00",""
"024889","1.1.02.01.0001","","            CAL BRASIL LTDA","","","","266,343.20d","","3,729,257.38","","3,610,861.81","","384,738.77d",""
"9152752","1.1.02.01.0001","","            CERAMICA SAO FRANCISCO INDUSTRIA E COMERCIO LTDA","","","","0.00","","1,300.00","","1,300.00","","0.00",""
"000353","1.1.02.01.0001","","            ITABIRA AGRO INDUSTRIAL S A","","","","51,985.70d","","1,283,655.89","","1,292,139.98","","43,501.61d",""
"9152776","1.1.02.01.0001","","            LIZABETE BASTOS DE ALMEIDA","","","","0.00","","15,000.00","","15,000.00","","0.00",""
"010050","1.1.03","","      CREDITOS TRIBUTARIOS","","","","653,479.49d","","519,520.28","","684,389.35","","488,610.42d",""
"010051","1.1.03.01","","         IMPOSTOS E CONTRIBUICOES RECUPERAR/COMPENSAR","","","","653,479.49d","","519,520.28","","684,389.35","","488,610.42d",""
"012164","1.1.03.01.0001","","            COFINS A RECUPERAR","","","","196,230.89d","","0.00","","0.00","","196,230.89d",""
"010055","1.1.03.01.0007","","            ICMS A RECUPERAR","","","","414,645.85d","","383,719.83","","602,348.74","","196,016.94d",""
"021095","1.1.03.01.0010","","            ICMS CIAP","","","","0.00","","135,800.45","","82,040.61","","53,759.84d",""
"012157","1.1.03.01.0021","","            PIS A RECUPERAR","","","","42,602.75d","","0.00","","0.00","","42,602.75d",""
"010167","1.2","","   ATIVO NAO CIRCULANTE","","","","774,689.72d","","212,071.25","","757,183.10","","229,577.87d",""
"010203","1.2.02","","      IMOBILIZADO","","","","774,689.72d","","212,071.25","","757,183.10","","229,577.87d",""
"010204","1.2.02.01","","         IMOBILIZADO TECNICO TANGIVEL","","","","1,202,318.75d","","0.00","","516,300.45","","686,018.30d",""
"010205","1.2.02.01.0003","","            COMPUTADORES E PERIFERICOS","","","","2,849.05d","","0.00","","0.00","","2,849.05d",""
"000198","1.2.02.01.0012","","            VEICULOS","","","","1,198,160.20d","","0.00","","516,300.45","","681,859.75d",""
"9152749","1.2.02.01.0013","","            INSTALAÇÕES","","","","1,309.50d","","0.00","","0.00","","1,309.50d",""
"020059","1.2.02.02","","         (-) DEPREC ACUMULADA","","","","427,629.03c","","212,071.25","","240,882.65","","456,440.43c",""
"023524","1.2.02.02.0004","","            (-) DEPRECIACAO ACUMULADA COMPUTADORES E PERIFERIC","","","","1,376.92c","","0.00","","569.76","","1,946.68c",""
"023538","1.2.02.02.0011","","            (-) DEPRECIACAO ACUMULADA VEICULOS","","","","426,175.74c","","212,071.25","","240,181.97","","454,286.46c",""
"9152750","1.2.02.02.0014","","            (-) DEPRECIAÇAO ACUMULADA INSTALAÇÕES","","","","76.37c","","0.00","","130.92","","207.29c",""
"000002","2","","PASSIVO","","","","1,827,149.85c","","4,422,806.13","","3,950,390.75","","1,354,734.47c",""
"020001","2.1","","   PASSIVO CIRCULANTE","","","","3,005,933.12c","","3,627,892.82","","3,110,388.26","","2,488,428.56c",""
"020002","2.1.01","","      FORNECEDORES","","","","2,343,851.19c","","2,124,409.30","","1,524,542.04","","1,743,983.93c",""
"020003","2.1.01.01","","         FORNECEDORES MERCADO INTERNO","","","","2,343,851.19c","","2,124,409.30","","1,524,542.04","","1,743,983.93c",""
"9152735","2.1.01.01.0001","","            56 MOLAS E ACESSORIOS LTDA EPP","","","","11,150.00c","","23,506.15","","16,436.15","","4,080.00c",""
"9152760","2.1.01.01.0001","","            ANA C DE ARAUJO ANDRADA COMBUSTIVEIS LTDA","","","","0.00","","1,000.00","","1,000.00","","0.00",""
"9152768","2.1.01.01.0001","","            ANA MARIA BERNARDO DE LIMA 09338552730","","","","0.00","","110.00","","110.00","","0.00",""
"9152775","2.1.01.01.0001","","            AUGUSTO URIAS DA CRUZ E FILHOS LTDA","","","","0.00","","500.00","","738.03","","238.03c",""
"9115140","2.1.01.01.0001","","            AUTO POSTO CENTRAL LTDA","","","","78,156.74c","","233,265.82","","191,675.77","","36,566.69c",""
"9152678","2.1.01.01.0001","","            AUTO POSTO ICONHA LTDA","","","","450,034.91c","","108,195.91","","0.00","","341,839.00c",""
"9152754","2.1.01.01.0001","","            AUTO POSTO REAL LTDA","","","","0.00","","13,524.66","","13,524.66","","0.00",""
"9152779","2.1.01.01.0001","","            AUTO POSTO RETAO DA DUTRA LTDA","","","","0.00","","2,746.88","","2,746.88","","0.00",""
"8994978","2.1.01.01.0001","","            AUTO POSTO ZAMPIROLO LTDA","","","","0.00","","95,416.72","","102,658.21","","7,241.49c",""
"9152747","2.1.01.01.0001","","            BAP  BRESSAN AUTO PECAS LTDA","","","","1,095.07c","","797.53","","0.00","","297.54c",""
"9152787","2.1.01.01.0001","","            BR 116 AUTO POSTO LTDA","","","","0.00","","0.00","","2,714.83","","2,714.83c",""
